SRR_Number,Sample_Name
SRR1737979,764_B1
SRR1737980,764_B2
SRR1737981,764_B3
SRR1737982,764_H1
SRR1737983,764_H2
SRR1737984,764_H3
SRR1737985,764_K1
SRR1737986,764_K2
SRR1737987,764_K3
SRR1737988,ST77_D1
SRR1737989,ST77_D2
SRR1737990,ST77_D3
SRR1737991,ST77_F1
SRR1737992,ST77_F2
SRR1737993,ST77_F3
SRR1737994,ST77_J1
SRR1737995,ST77_J2
SRR1737996,ST77_J3
SRR1737997,ST111_B1
SRR1737998,ST111_B2
SRR1737999,ST111_B3
SRR1738000,ST111_I1
SRR1738001,ST111_I2
SRR1738002,ST111_I3
SRR1738003,ST111_K1
SRR1738004,ST111_K2
SRR1738005,ST111_K3
SRR1738006,WT_B1
SRR1738007,WT_B2
SRR1738008,WT_B3
SRR1738009,WT_H1
SRR1738010,WT_H2
SRR1738011,WT_H3
SRR1738012,WT_J1
SRR1738013,WT_J2
SRR1738014,WT_J3
